subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
1,F0,0,0.4947916666666667,0.4947916666666667,"3,2,1,0"
1,F0,1,0.4930555555555556,0.4930555555555556,"2,1,0,3"
1,F0,2,0.4930555555555556,0.4930555555555556,"3,2,0,1"
1,F0,3,0.4930555555555556,0.4930555555555556,"3,2,1,0"
1,F0,4,0.4947916666666667,0.4947916666666667,"2,1,0,3"
1,F0,5,0.4930555555555556,0.4930555555555556,"1,2,0,3"
1,F0,6,0.4930555555555556,0.4930555555555556,"1,2,3,0"
1,F0,7,0.4930555555555556,0.4930555555555556,"0,2,3,1"
1,F0,8,0.4930555555555556,0.4930555555555556,"2,0,3,1"
1,F0,9,0.4930555555555556,0.4930555555555556,"1,2,3,0"
1,F0,10,0.4930555555555556,0.4930555555555556,"1,2,0,3"
1,F0,11,0.4930555555555556,0.4930555555555556,"1,2,3,0"
1,F0,12,0.4947916666666667,0.49479166666666663,"2,0,3,1"
1,F0,13,0.4913194444444444,0.4913194444444444,"1,2,0,3"
1,F0,14,0.4930555555555556,0.4930555555555556,"3,2,0,1"
1,F0,15,0.4930555555555556,0.4930555555555556,"3,2,1,0"
1,F0,16,0.4930555555555556,0.4930555555555556,"3,2,1,0"
1,F0,17,0.4930555555555556,0.4930555555555556,"2,1,0,3"
1,F0,18,0.4913194444444444,0.4913194444444444,"1,2,3,0"
1,F0,19,0.4930555555555556,0.4930555555555556,"3,2,1,0"
1,F1,0,0.5017361111111112,0.5017361111111112,"2,3,0,1"
1,F1,1,0.5017361111111112,0.5017361111111112,"3,1,0,2"
1,F1,2,0.5017361111111112,0.501736111111111,"0,3,1,2"
1,F1,3,0.4982638888888889,0.4982638888888889,"1,0,2,3"
1,F1,4,0.5,0.5,"1,3,2,0"
1,F1,5,0.5,0.5,"2,3,0,1"
1,F1,6,0.5,0.5,"0,1,3,2"
1,F1,7,0.5,0.5,"3,2,0,1"
1,F1,8,0.4982638888888889,0.49826388888888884,"3,2,0,1"
1,F1,9,0.5034722222222222,0.5034722222222222,"0,3,1,2"
1,F1,10,0.5017361111111112,0.5017361111111112,"2,3,0,1"
1,F1,11,0.5034722222222222,0.5034722222222222,"3,1,2,0"
1,F1,12,0.5017361111111112,0.5017361111111112,"3,1,0,2"
1,F1,13,0.5017361111111112,0.501736111111111,"0,1,3,2"
1,F1,14,0.5017361111111112,0.5017361111111112,"2,3,1,0"
1,F1,15,0.5,0.5,"0,1,3,2"
1,F1,16,0.5,0.5,"3,2,1,0"
1,F1,17,0.5052083333333334,0.5052083333333334,"1,0,2,3"
1,F1,18,0.5,0.5,"3,0,1,2"
1,F1,19,0.5,0.5,"0,2,3,1"
1,F2-S,0,0.3385416666666667,0.3385416666666667,"0,2,3,1"
1,F2-S,1,0.3315972222222222,0.3315972222222222,"2,1,3,0"
1,F2-S,2,0.3333333333333333,0.33333333333333337,"3,2,1,0"
1,F2-S,3,0.3420138888888889,0.3420138888888889,"0,1,2,3"
1,F2-S,4,0.3368055555555556,0.3368055555555556,"0,3,1,2"
1,F2-S,5,0.3368055555555556,0.3368055555555556,"3,1,0,2"
1,F2-S,6,0.3454861111111111,0.3454861111111111,"3,1,0,2"
1,F2-S,7,0.3402777777777778,0.3402777777777778,"1,0,2,3"
1,F2-S,8,0.3298611111111111,0.3298611111111111,"1,3,2,0"
1,F2-S,9,0.3402777777777778,0.3402777777777778,"1,3,0,2"
1,F2-S,10,0.3402777777777778,0.3402777777777778,"3,2,1,0"
1,F2-S,11,0.3368055555555556,0.3368055555555556,"3,2,1,0"
1,F2-S,12,0.3368055555555556,0.3368055555555556,"1,0,3,2"
1,F2-S,13,0.3315972222222222,0.3315972222222222,"2,3,1,0"
1,F2-S,14,0.3402777777777778,0.3402777777777778,"0,1,2,3"
1,F2-S,15,0.3420138888888889,0.3420138888888889,"1,0,2,3"
1,F2-S,16,0.3454861111111111,0.3454861111111111,"3,0,2,1"
1,F2-S,17,0.3350694444444444,0.3350694444444444,"3,2,0,1"
1,F2-S,18,0.3402777777777778,0.3402777777777778,"2,0,3,1"
1,F2-S,19,0.3350694444444444,0.3350694444444444,"3,2,1,0"
1,F2-V,0,0.3836805555555556,0.3836805555555556,"2,3,0,1"
1,F2-V,1,0.3923611111111111,0.3923611111111111,"3,0,1,2"
1,F2-V,2,0.3802083333333333,0.3802083333333333,"1,3,0,2"
1,F2-V,3,0.3888888888888889,0.3888888888888889,"3,1,0,2"
1,F2-V,4,0.3802083333333333,0.38020833333333337,"1,2,0,3"
1,F2-V,5,0.3836805555555556,0.3836805555555556,"3,2,1,0"
1,F2-V,6,0.390625,0.390625,"3,1,0,2"
1,F2-V,7,0.3802083333333333,0.3802083333333333,"0,2,3,1"
1,F2-V,8,0.3784722222222222,0.37847222222222227,"1,3,2,0"
1,F2-V,9,0.375,0.375,"0,1,3,2"
1,F2-V,10,0.375,0.375,"3,2,1,0"
1,F2-V,11,0.3784722222222222,0.37847222222222227,"2,1,0,3"
1,F2-V,12,0.375,0.37500000000000006,"2,3,1,0"
1,F2-V,13,0.3836805555555556,0.3836805555555556,"2,3,0,1"
1,F2-V,14,0.3697916666666667,0.3697916666666667,"1,3,0,2"
1,F2-V,15,0.3784722222222222,0.37847222222222227,"0,2,1,3"
1,F2-V,16,0.3784722222222222,0.37847222222222227,"1,3,0,2"
1,F2-V,17,0.3819444444444444,0.3819444444444445,"3,2,0,1"
1,F2-V,18,0.3159722222222222,0.3159722222222222,"0,1,3,2"
1,F2-V,19,0.375,0.375,"1,3,2,0"
1,F3-G,0,0.203125,0.203125,"3,0,1,2"
1,F3-G,1,0.203125,0.203125,"1,3,2,0"
1,F3-G,2,0.203125,0.203125,"3,1,2,0"
1,F3-G,3,0.203125,0.203125,"1,3,2,0"
1,F3-G,4,0.203125,0.203125,"3,1,0,2"
1,F3-G,5,0.203125,0.203125,"2,3,0,1"
1,F3-G,6,0.1996527777777778,0.1996527777777778,"1,3,0,2"
1,F3-G,7,0.203125,0.203125,"1,3,2,0"
1,F3-G,8,0.203125,0.203125,"2,3,0,1"
1,F3-G,9,0.1996527777777778,0.1996527777777778,"1,2,0,3"
1,F3-G,10,0.203125,0.203125,"2,3,0,1"
1,F3-G,11,0.203125,0.203125,"3,0,2,1"
1,F3-G,12,0.203125,0.203125,"3,2,0,1"
1,F3-G,13,0.203125,0.203125,"1,3,0,2"
1,F3-G,14,0.203125,0.203125,"3,0,1,2"
1,F3-G,15,0.203125,0.203125,"3,1,2,0"
1,F3-G,16,0.1996527777777778,0.1996527777777778,"1,2,0,3"
1,F3-G,17,0.1996527777777778,0.1996527777777778,"1,3,0,2"
1,F3-G,18,0.203125,0.203125,"3,2,0,1"
1,F3-G,19,0.203125,0.203125,"2,3,1,0"
2,F0,0,0.24479166666666666,0.24479166666666666,"1,0,3,2"
2,F0,1,0.24479166666666666,0.24479166666666666,"3,0,1,2"
2,F0,2,0.24305555555555555,0.24305555555555555,"2,1,3,0"
2,F0,3,0.24479166666666666,0.24479166666666666,"1,0,3,2"
2,F0,4,0.24479166666666666,0.24479166666666666,"2,0,3,1"
2,F0,5,0.24479166666666666,0.24479166666666666,"1,3,0,2"
2,F0,6,0.24479166666666666,0.24479166666666666,"1,3,2,0"
2,F0,7,0.24479166666666666,0.24479166666666666,"2,0,1,3"
2,F0,8,0.24479166666666666,0.24479166666666666,"2,3,1,0"
2,F0,9,0.24479166666666666,0.24479166666666666,"3,1,0,2"
2,F0,10,0.24479166666666666,0.24479166666666666,"0,1,3,2"
2,F0,11,0.24305555555555555,0.24305555555555555,"2,1,3,0"
2,F0,12,0.24305555555555555,0.24305555555555555,"2,0,1,3"
2,F0,13,0.24479166666666666,0.24479166666666666,"1,3,2,0"
2,F0,14,0.24479166666666666,0.24479166666666666,"1,0,2,3"
2,F0,15,0.24479166666666666,0.24479166666666666,"0,1,2,3"
2,F0,16,0.24479166666666666,0.24479166666666666,"2,3,1,0"
2,F0,17,0.24479166666666666,0.24479166666666666,"2,3,1,0"
2,F0,18,0.24479166666666666,0.24479166666666666,"0,1,3,2"
2,F0,19,0.24305555555555555,0.24305555555555555,"1,0,2,3"
2,F1,0,0.2517361111111111,0.2517361111111111,"2,3,1,0"
2,F1,1,0.2517361111111111,0.2517361111111111,"0,1,2,3"
2,F1,2,0.2517361111111111,0.2517361111111111,"2,3,1,0"
2,F1,3,0.2517361111111111,0.2517361111111111,"2,0,3,1"
2,F1,4,0.2517361111111111,0.2517361111111111,"2,3,1,0"
2,F1,5,0.2517361111111111,0.2517361111111111,"2,1,3,0"
2,F1,6,0.2517361111111111,0.2517361111111111,"2,0,1,3"
2,F1,7,0.2517361111111111,0.2517361111111111,"1,0,2,3"
2,F1,8,0.2517361111111111,0.2517361111111111,"2,1,3,0"
2,F1,9,0.2517361111111111,0.25173611111111116,"3,2,1,0"
2,F1,10,0.25,0.25,"2,3,0,1"
2,F1,11,0.25,0.25,"2,0,3,1"
2,F1,12,0.2517361111111111,0.2517361111111111,"2,0,1,3"
2,F1,13,0.2517361111111111,0.2517361111111111,"0,2,3,1"
2,F1,14,0.2517361111111111,0.2517361111111111,"1,2,0,3"
2,F1,15,0.2482638888888889,0.2482638888888889,"0,3,1,2"
2,F1,16,0.2517361111111111,0.2517361111111111,"1,3,0,2"
2,F1,17,0.25,0.25,"0,1,3,2"
2,F1,18,0.2517361111111111,0.25173611111111116,"2,3,1,0"
2,F1,19,0.25,0.25,"1,2,3,0"
2,F2-S,0,0.2586805555555556,0.2586805555555556,"2,1,0,3"
2,F2-S,1,0.2638888888888889,0.2638888888888889,"3,2,1,0"
2,F2-S,2,0.2586805555555556,0.2586805555555556,"0,3,2,1"
2,F2-S,3,0.2621527777777778,0.2621527777777778,"3,1,2,0"
2,F2-S,4,0.2534722222222222,0.2534722222222222,"3,0,1,2"
2,F2-S,5,0.2604166666666667,0.2604166666666667,"1,0,3,2"
2,F2-S,6,0.265625,0.265625,"1,3,0,2"
2,F2-S,7,0.265625,0.265625,"0,1,2,3"
2,F2-S,8,0.2621527777777778,0.2621527777777778,"0,2,3,1"
2,F2-S,9,0.2604166666666667,0.26041666666666663,"0,2,3,1"
2,F2-S,10,0.265625,0.265625,"3,2,1,0"
2,F2-S,11,0.2586805555555556,0.2586805555555555,"1,3,2,0"
2,F2-S,12,0.2621527777777778,0.2621527777777778,"0,1,3,2"
