subject,feature,nn1_same_class,nn5_class_purity,different_class_neighbour_fraction
1,F0,0.5972222222222222,0.5746527777777778,0.4253472222222222
1,F1,0.6527777777777778,0.5888888888888889,0.4111111111111111
1,F2-S,0.4131944444444444,0.38958333333333334,0.6104166666666666
1,F2-V,0.3315972222222222,0.34270833333333334,0.6572916666666666
1,F3-G,0.3420138888888889,0.3142361111111111,0.6857638888888888
2,F0,0.3142361111111111,0.2972222222222222,0.7027777777777777
2,F1,0.3263888888888889,0.30243055555555554,0.6975694444444445
2,F2-S,0.2621527777777778,0.2586805555555556,0.7413194444444444
2,F2-V,0.2795138888888889,0.26284722222222223,0.7371527777777778
2,F3-G,0.1892361111111111,0.22847222222222222,0.7715277777777778
3,F0,0.5954861111111112,0.5600694444444444,0.4399305555555556
3,F1,0.640625,0.6059027777777778,0.3940972222222222
3,F2-S,0.3541666666666667,0.36736111111111114,0.6326388888888889
3,F2-V,0.2517361111111111,0.2833333333333333,0.7166666666666667
3,F3-G,0.2829861111111111,0.2690972222222222,0.7309027777777778
4,F0,0.375,0.35208333333333336,0.6479166666666667
4,F1,0.3975694444444444,0.375,0.625
4,F2-S,0.2795138888888889,0.278125,0.721875
4,F2-V,0.2569444444444444,0.2777777777777778,0.7222222222222222
4,F3-G,0.2569444444444444,0.25763888888888886,0.7423611111111111
5,F0,0.3072916666666667,0.2899305555555556,0.7100694444444444
5,F1,0.2760416666666667,0.3,0.7
5,F2-S,0.21875,0.24513888888888888,0.7548611111111111
5,F2-V,0.25,0.2642361111111111,0.7357638888888889
5,F3-G,0.234375,0.25243055555555555,0.7475694444444445
6,F0,0.34375,0.303125,0.696875
6,F1,0.2899305555555556,0.29409722222222223,0.7059027777777778
6,F2-S,0.2934027777777778,0.284375,0.715625
6,F2-V,0.2881944444444444,0.27152777777777776,0.7284722222222222
6,F3-G,0.2951388888888889,0.27395833333333336,0.7260416666666667
7,F0,0.484375,0.4756944444444444,0.5243055555555556
7,F1,0.5086805555555556,0.4621527777777778,0.5378472222222221
7,F2-S,0.2517361111111111,0.2899305555555556,0.7100694444444444
7,F2-V,0.24305555555555555,0.253125,0.746875
7,F3-G,0.2534722222222222,0.2517361111111111,0.7482638888888888
8,F0,0.53125,0.515625,0.484375
8,F1,0.6475694444444444,0.5923611111111111,0.4076388888888889
8,F2-S,0.3229166666666667,0.33194444444444443,0.6680555555555556
8,F2-V,0.3177083333333333,0.28854166666666664,0.7114583333333333
8,F3-G,0.2847222222222222,0.2673611111111111,0.7326388888888888
9,F0,0.5815972222222222,0.5388888888888889,0.46111111111111114
9,F1,0.6423611111111112,0.5989583333333334,0.40104166666666663
9,F2-S,0.3819444444444444,0.3527777777777778,0.6472222222222221
9,F2-V,0.3576388888888889,0.36701388888888886,0.6329861111111111
9,F3-G,0.2951388888888889,0.31180555555555556,0.6881944444444444
