protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,1,0train_fold0,F0,230,58,0.7928571428571428,0.7931034482758621,0.7953182234432234,"[[11, 0, 0, 3], [2, 11, 1, 0], [0, 1, 14, 0], [5, 0, 0, 10]]"
P0,1,0train_fold0,F1,230,58,0.7547619047619049,0.7586206896551724,0.7525460090984285,"[[9, 1, 0, 4], [2, 9, 3, 0], [0, 2, 13, 0], [2, 0, 0, 13]]"
P0,1,0train_fold0,F2-S,230,58,0.3452380952380952,0.3448275862068966,0.3433087027914614,"[[4, 4, 0, 6], [0, 6, 8, 0], [1, 10, 3, 1], [5, 1, 2, 7]]"
P0,1,0train_fold0,F2-V,230,58,0.4119047619047619,0.4137931034482758,0.4081214524702458,"[[4, 3, 1, 6], [1, 6, 7, 0], [2, 9, 4, 0], [2, 1, 2, 10]]"
P0,1,0train_fold0,F3-G,230,58,0.4297619047619048,0.4310344827586206,0.4103855447421469,"[[2, 6, 1, 5], [0, 9, 4, 1], [2, 7, 6, 0], [0, 5, 2, 8]]"
P0,1,0train_fold0,F3-D,230,58,0.5166666666666666,0.5172413793103449,0.5129693223443224,"[[5, 4, 1, 4], [0, 9, 4, 1], [4, 3, 8, 0], [3, 2, 2, 8]]"
P0,1,0train_fold0,F2-S-SHUFFLE,230,58,0.2630952380952381,0.2586206896551724,0.2508902387934646,"[[7, 2, 1, 4], [1, 4, 8, 1], [4, 7, 2, 2], [5, 6, 2, 2]]"
P0,1,0train_fold0,F2-S-REVERSE,230,58,0.3452380952380952,0.3448275862068966,0.3433087027914614,"[[4, 4, 0, 6], [0, 6, 8, 0], [1, 10, 3, 1], [5, 1, 2, 7]]"
P0,1,0train_fold1,F0,230,58,0.8452380952380953,0.8448275862068966,0.8424096736596737,"[[10, 0, 1, 3], [0, 11, 3, 1], [0, 0, 14, 0], [1, 0, 0, 14]]"
P0,1,0train_fold1,F1,230,58,0.7952380952380952,0.7931034482758621,0.7939933259176863,"[[12, 0, 2, 0], [0, 12, 3, 0], [0, 2, 12, 0], [5, 0, 0, 10]]"
P0,1,0train_fold1,F2-S,230,58,0.4964285714285714,0.5,0.4831845238095238,"[[4, 1, 1, 8], [0, 6, 9, 0], [1, 6, 7, 0], [2, 0, 1, 12]]"
P0,1,0train_fold1,F2-V,230,58,0.5,0.5,0.5011535450912536,"[[7, 1, 1, 5], [1, 6, 8, 0], [1, 6, 7, 0], [4, 1, 1, 9]]"
P0,1,0train_fold1,F3-G,230,58,0.4083333333333333,0.4137931034482758,0.3987724014336917,"[[4, 3, 2, 5], [3, 8, 3, 1], [2, 8, 3, 1], [2, 2, 2, 9]]"
P0,1,0train_fold1,F3-D,230,58,0.3595238095238095,0.3620689655172414,0.3526785714285714,"[[5, 2, 3, 4], [5, 4, 2, 4], [5, 6, 3, 0], [3, 1, 2, 9]]"
P0,1,0train_fold1,F2-S-SHUFFLE,230,58,0.4797619047619048,0.4827586206896552,0.4680963089883629,"[[5, 1, 1, 7], [1, 5, 7, 2], [1, 7, 6, 0], [2, 0, 1, 12]]"
P0,1,0train_fold1,F2-S-REVERSE,230,58,0.4964285714285714,0.5,0.4831845238095238,"[[4, 1, 1, 8], [0, 6, 9, 0], [1, 6, 7, 0], [2, 0, 1, 12]]"
P0,1,0train_fold2,F0,230,58,0.8630952380952381,0.8620689655172413,0.8606002554278416,"[[12, 0, 1, 2], [1, 13, 1, 0], [1, 2, 11, 0], [0, 0, 0, 14]]"
P0,1,0train_fold2,F1,230,58,0.7964285714285714,0.7931034482758621,0.7900189290275497,"[[11, 0, 1, 3], [1, 10, 3, 1], [1, 2, 11, 0], [0, 0, 0, 14]]"
P0,1,0train_fold2,F2-S,230,58,0.5333333333333333,0.5344827586206896,0.5349867724867725,"[[7, 4, 1, 3], [1, 10, 4, 0], [1, 6, 7, 0], [6, 0, 1, 7]]"
P0,1,0train_fold2,F2-V,230,58,0.5857142857142856,0.5862068965517241,0.5869841600064724,"[[10, 1, 1, 3], [3, 8, 3, 1], [1, 5, 8, 0], [5, 0, 1, 8]]"
P0,1,0train_fold2,F3-G,230,58,0.344047619047619,0.3448275862068966,0.3472858552802452,"[[4, 4, 6, 1], [3, 7, 5, 0], [3, 4, 4, 3], [2, 5, 2, 5]]"
P0,1,0train_fold2,F3-D,230,58,0.3083333333333333,0.3103448275862069,0.3102809706257982,"[[5, 2, 5, 3], [2, 6, 4, 3], [3, 5, 3, 3], [4, 2, 4, 4]]"
P0,1,0train_fold2,F2-S-SHUFFLE,230,58,0.4821428571428571,0.4827586206896552,0.4742107537017399,"[[4, 5, 4, 2], [1, 11, 2, 1], [1, 6, 7, 0], [4, 4, 0, 6]]"
P0,1,0train_fold2,F2-S-REVERSE,230,58,0.5333333333333333,0.5344827586206896,0.5349867724867725,"[[7, 4, 1, 3], [1, 10, 4, 0], [1, 6, 7, 0], [6, 0, 1, 7]]"
P0,1,0train_fold3,F0,231,57,0.6666666666666666,0.6666666666666666,0.6685654548557775,"[[10, 2, 1, 2], [2, 8, 4, 0], [1, 4, 9, 0], [3, 0, 0, 11]]"
P0,1,0train_fold3,F1,231,57,0.6678571428571429,0.6666666666666666,0.6687344913151365,"[[9, 3, 0, 3], [1, 11, 2, 0], [0, 3, 10, 1], [6, 0, 0, 8]]"
P0,1,0train_fold3,F2-S,231,57,0.5226190476190475,0.5263157894736842,0.52130778421101,"[[11, 1, 2, 1], [0, 4, 7, 3], [0, 6, 7, 1], [4, 1, 1, 8]]"
P0,1,0train_fold3,F2-V,231,57,0.5761904761904761,0.5789473684210527,0.5705128205128205,"[[11, 1, 1, 2], [3, 5, 5, 1], [0, 4, 9, 1], [3, 0, 3, 8]]"
